Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Start_Date,Data Value,Season,pollutant,value_std,AQI_cat,AQI_cat_simplified
671111,386,Ozone (O3),Mean,ppb,Cd,313,Coney Island (Cd13),2020-06-01,31.56,Summer,O3,0.15521135784387097,Dangereux,1
166697,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,203,Morrisania And Crotona (Cd3),2010-06-01,22.1,Summer,NO2,105.10365975087865,Mauvais,1
602820,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,502,Stapleton - St. George,2018-06-01,9.31,Summer,NO2,30.29427449065153,Bon,0
412740,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,304,Bushwick (Cd4),2016-05-31,14.8,Spring,NO2,50.871435084466114,Bon,0
602796,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,404,Bayside - Little Neck,2018-06-01,11.72,Summer,NO2,52.56065602917991,Bon,0
166701,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,207,Kingsbridge Heights And Bedford (Cd7),2010-06-01,21.48,Summer,NO2,92.53948222615276,Modéré,0
212556,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,208,Canarsie - Flatlands,2013-12-01,17.0,Winter,NO2,66.45094013060846,Modéré,0
336790,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,212,Williamsbridge And Baychester (Cd12),2015-01-01,18.97,Winter,NO2,75.44758576142354,Modéré,0
174816,383,Sulfur Dioxide (So2),Mean,ppb,Uhf42,402,West Queens,2012-12-01,1.6,Winter,SO2,5.49231566747485,Bon,0
405233,383,Sulfur Dioxide (So2),Mean,ppb,Uhf42,201,Greenpoint,2015-12-01,0.19,Winter,SO2,0.9443916063469782,Bon,0
741272,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,408,Hillcrest And Fresh Meadows (Cd8),2021-06-01,10.22,Summer,NO2,41.024370502529806,Bon,0
171066,383,Sulfur Dioxide (So2),Mean,ppb,Uhf34,303,East Harlem,2008-12-01,7.04,Winter,SO2,32.76517319179499,Bon,0
122135,386,Ozone (O3),Mean,ppb,Uhf34,208,Canarsie - Flatlands,2009-06-01,29.0,Summer,O3,0.09218621181205368,Très mauvais,1
651029,386,Ozone (O3),Mean,ppb,Cd,307,Sunset Park (Cd7),2019-06-01,28.78,Summer,O3,0.08760603890147253,Très mauvais,1
667196,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,306,Chelsea - Clinton,2019-12-01,33.6,Winter,NO2,131.00692239828896,Mauvais,1
212434,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,301,Washington Heights,2014-06-01,17.09,Summer,NO2,65.36696289879934,Modéré,0
167748,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,104,Clinton And Chelsea (Cd4),2012-12-01,30.56,Winter,NO2,148.13590369735059,Mauvais,1
412467,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,207,East Flatbush - Flatbush,2016-06-01,13.98,Summer,NO2,60.5103601957335,Modéré,0
216388,386,Ozone (O3),Mean,ppb,Cd,207,Kingsbridge Heights And Bedford (Cd7),2011-06-01,31.43,Summer,O3,0.139185500818443,Dangereux,1
338238,386,Ozone (O3),Mean,ppb,Uhf34,408,Jamaica,2015-06-01,32.04,Summer,O3,0.14647001054462816,Dangereux,1
167687,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,102,Greenwich Village And Soho (Cd2),2011-12-01,30.08,Winter,NO2,128.85977000389536,Mauvais,1
651027,386,Ozone (O3),Mean,ppb,Cd,305,East New York And Starrett City (Cd5),2019-06-01,32.99,Summer,O3,0.1474004438638569,Dangereux,1
166888,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,305,East New York And Starrett City (Cd5),2013-06-01,16.14,Summer,NO2,79.59522486132059,Modéré,0
166749,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,108,Upper East Side (Cd8),2011-06-01,28.77,Summer,NO2,110.03836566908647,Mauvais,1
412720,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,209,Parkchester And Soundview (Cd9),2015-12-31,18.81,Winter,NO2,88.56379997354931,Modéré,0
